ACS,Occupation Name
2550.0,"Other Education, Training, and Library Workers"
2600.0,Artists and Related Workers
2630.0,Designers
2700.0,Actors
2710.0,Producers and Directors
2720.0,"Athletes, Coaches, Umpires, and Related Workers"
2740.0,Dancers and Choreographers
2750.0,"Musicians, Singers, and Related Workers"
2760.0,"Entertainers and Performers, Sports and Related Workers, All Other"
2800.0,Announcers
2810.0,"News Analysts, Reporters and Correspondents"
725.0,"(Meeting, convention, and event planners)"
2825.0,Public Relations Specialists
2830.0,Editors
2840.0,Technical Writers
2850.0,Writers and Authors
2860.0,Miscellaneous Media and Communication Workers
2900.0,"Broadcast and Sound Engineering Technicians and Radio Operators, and media and communication equipment workers, all other"
2910.0,Photographers
2920.0,"Television, Video, and Motion Picture Camera Operators and Editors"
3000.0,Chiropractors
3010.0,Dentists
3030.0,Dieticians and Nutritionists
3040.0,Optometrists
3050.0,Pharmacists
3060.0,Physicians and Surgeons
3110.0,Physician Assistants
3120.0,Podiatrists
3255.0,Registered nurses
3256.0,Nurse anesthetists
3258.0,Nurse practitioners and nurse midwives
3140.0,Audiologists
3150.0,Occupational Therapists
3160.0,Physical Therapists
3200.0,Radiation Therapists
3210.0,Recreational Therapists
3220.0,Respiratory Therapists
3230.0,Speech Language Pathologists
3245.0,"Other Therapists, Including Exercise Physiologists"
3250.0,Veterinarians
3260.0,"Health Diagnosing and Treating Practitioners, All Other"
3300.0,Clinical Laboratory Technologists and Technicians
3310.0,Dental Hygienists
3320.0,Diagnostic Related Technologists and Technicians
3400.0,Emergency Medical Technicians and Paramedics
3500.0,Licensed Practical and Licensed Vocational Nurses
3510.0,Medical Records and Health Information Technicians
3520.0,"Opticians, Dispensing"
3420.0,Health practitioner support technologists and technicians
3535.0,Miscellaneous health technologists and technicians
3540.0,Other Healthcare Practitioners and Technical Occupations
3600.0,"Nursing, Psychiatric, and Home Health Aides"
3610.0,Occupational Therapy Assistants and Aides
3620.0,Physical Therapist Assistants and Aides
3630.0,Massage therapists
3640.0,Dental assistants
3645.0,Medical assistants
3646.0,Medical transcriptionists
3647.0,Pharmacy aides
3648.0,Veterinary assistants and laboratory animal caretakers
3649.0,Phlebotmists
3655.0,"Healthcare support workers, all other, including medical equipment preparers"
3700.0,FirstLine Supervisors of Correctional Officers
3710.0,FirstLine Supervisors of Police and Detectives
3720.0,FirstLine Supervisors of Fire Fighting and Prevention Workers
3730.0,"Firstline supervisors of protective service workers, all other"
3740.0,Firefighters
3750.0,Fire Inspectors
3800.0,"Bailiffs, Correctional Officers, and Jailers"
3820.0,Detectives and Criminal Investigators
3840.0,Miscellaneous law enforcement workers
3850.0,Police Officers
3900.0,Animal Control Workers
3910.0,Private Detectives and Investigators
3940.0,Crossing Guards
3930.0,Security guards and gaming surveillance officers
3945.0,Transportation Security Screeners
3955.0,"Lifeguards and Other Recreational, and All Other Protective Service Workers"
4000.0,Chefs and Head Cooks
4010.0,FirstLine Supervisors of Food Preparation and Serving Workers
4020.0,Cooks
4030.0,Food Preparation Workers
4040.0,Bartenders
4050.0,"Combined Food Preparation and Serving Workers, Including Fast Food"
4060.0,"Counter Attendant, Cafeteria, Food Concession, and Coffee Shop"
4110.0,Waiters and Waitresses
4120.0,"Food Servers, Nonrestaurant"
4130.0,Miscellaneous food preparation and serving related workers including dining room and cafeteria attendants and bartender helpers
4140.0,Dishwashers
4150.0,"Host and Hostesses, Restaurant, Lounge, and Coffee Shop"
4200.0,FirstLine Supervisors of Housekeeping and Janitorial Workers
4210.0,"FirstLine Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
4220.0,Janitors and Building Cleaners
4230.0,Maids and Housekeeping Cleaners
4240.0,Pest Control Workers
4250.0,Grounds Maintenance Workers
4300.0,FirstLine Supervisors of Gaming Workers
4320.0,FirstLine Supervisors of Personal Service Workers
4340.0,Animal Trainers
4350.0,Nonfarm Animal Caretakers
4400.0,Gaming Services Workers
4410.0,Motion Picture Projectionists
4420.0,"Ushers, Lobby Attendants, and Ticket Takers"
4430.0,Miscellaneous Entertainment Attendants and Related Workers
4460.0,Embalmers and Funeral Attendants
4465.0,"Morticians, undertakers, and funeral directors(part of 0320)"
4500.0,Barbers
4510.0,"Hairdressers, Hairstylists, and Cosmetologists"
4520.0,Miscellaneous Personal Appearance Workers
4530.0,"Baggage Porters, Bellhops, and Concierges"
4540.0,Tour and Travel Guides
9050.0,Flight attendants
9415.0,"Transportation attendants, except flight attendants"
4600.0,Childcare Workers
4610.0,Personal Care Aides
4620.0,Recreation and Fitness Workers
4640.0,Residential Advisors
4650.0,"Personal Care and Service Workers, All Other"
4700.0,FirstLine Supervisors of Retail Sales Workers
4710.0,FirstLine Supervisors of NonRetail Sales
4720.0,Cashiers
4740.0,Counter and Rental Clerks
4750.0,Parts Salespersons
4760.0,Retail Salespersons
4800.0,Advertising Sales Agents
4810.0,Insurance Sales Agents
4820.0,"Securities, Commodities, and Financial Services Sales Agents"
4830.0,Travel Agents
4840.0,"Sales Representatives, Services, All Other"
4850.0,"Sales Representatives, Wholesale and Manufacturing"
4900.0,"Models, Demonstrators, and Product Promoters"
4920.0,Real Estate Brokers and Sales Agents
4930.0,Sales Engineers
4940.0,Telemarketers
4950.0,"DoortoDoor Sales Workers, News and Street Vendors, and Related Workers"
726.0,Fundraisers
4965.0,"Sales and related workers, all other"
5000.0,FirstLine Supervisors of Office and Administrative Support Workers
5010.0,"Switchboard Operators, Including Answering Service"
5020.0,Telephone Operators
5030.0,"Communications Equipment Operators, All Other"
5100.0,Bill and Account Collectors
5110.0,Billing and Posting Clerks
5120.0,"Bookkeeping, Accounting, and Auditing Clerks"
5130.0,Gaming Cage Workers
5140.0,Payroll and Timekeeping Clerks
5150.0,Procurement Clerks
5160.0,Tellers
5200.0,Brokerage Clerks
5350.0,Correspondent clerks and order clerks
5220.0,"Court, Municipal, and License Clerks"
5230.0,"Credit Authorizers, Checkers, and Clerks"
5240.0,Customer Service Representatives
5250.0,"Eligibility Interviewers, Government Programs"
5260.0,File Clerks
5300.0,"Hotel, Motel, and Resort Desk Clerks"
5310.0,"Interviewers, Except Eligibility and Loan"
5320.0,"Library Assistants, Clerical"
5330.0,Loan Interviewers and Clerks
5340.0,New Account Clerks
5360.0,"Human Resources Assistants, Except Payroll and Timekeeping"
5400.0,Receptionists and Information Clerks
5410.0,Reservation and Transportation Ticket Agents and Travel Clerks
5420.0,"Information and Record Clerks, All Other"
5500.0,Cargo and Freight Agents
5510.0,Couriers and Messengers
5520.0,Dispatchers
5530.0,"Meter Readers, Utilities"
5540.0,Postal Service Clerks
5550.0,Postal Service Mail Carriers
5560.0,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
5600.0,"Production, Planning, and Expediting Clerks"
5610.0,"Shipping, Receiving, and Traffic Clerks"
5620.0,Stock Clerks and Order Fillers
5630.0,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
5700.0,Secretaries and Administrative Assistants
5800.0,Computer Operators
5810.0,Data Entry Keyers
5820.0,Word Processors and Typists
5840.0,Insurance Claims and Policy Processing Clerks
5850.0,"Mail Clerks and Mail Machine Operators, Except Postal Service"
5860.0,"Office Clerks, General"
5900.0,"Office Machine Operators, Except Computer"
5910.0,Proofreaders and Copy Markers
5920.0,Statistical Assistants
5165.0,"Financial clerks, all other"
5940.0,Miscellaneous office and administrative support workers including desktop publishers
630.0,(Human resource workers)
6005.0,"FirstLine Supervisors of Farming, Fishing, and Forestry Workers"
6010.0,Agricultural Inspectors
6040.0,"Graders and Sorters, Agricultural Products"
6050.0,Miscellaneous agricultural workers including animal breeders
6100.0,Fishing and hunting workers
6120.0,Forest and Conservation Workers
6130.0,Logging Workers
6200.0,FirstLine Supervisors of Construction Trades and Extraction Workers
6210.0,Boilermakers
6220.0,"Brickmasons, blockmasons, stonemasons, and reinforcing iron and rebar workers"
6230.0,Carpenters
6240.0,"Carpet, Floor, and Tile Installers and Finishers"
6250.0,"Cement Masons, Concrete Finishers, and Terrazzo Workers"
6260.0,Construction Laborers
6300.0,"Paving, Surfacing, and Tamping Equipment Operators"
6320.0,"Construction equipment operators except paving, surfacing, and tamping equipment operators"
6330.0,"Drywall Installers, Ceiling Tile Installers, and Tapers"
6355.0,Electricians
6540.0,(Solar photovoltaic installers part of 6765)
6360.0,Glaziers
6400.0,Insulation Workers
6420.0,Painters and paperhangers
6440.0,"Pipelayers, Plumbers, Pipefitters, and Steamfitters"
6460.0,Plasterers and Stucco Masons
6515.0,Roofers
6540.0,(Solar photovoltaic installers part of 6765)
6520.0,Sheet Metal Workers
6530.0,Structural Iron and Steel Workers
6600.0,"Helpers, Construction Trades"
6660.0,Construction and Building Inspectors
6700.0,Elevator Installers and Repairers
6710.0,Fence Erectors
6720.0,Hazardous Materials Removal Workers
6730.0,Highway Maintenance Workers
6740.0,RailTrack Laying and Maintenance Equipment Operators
6765.0,"Miscellaneous construction workers including solar photovaltaic installers, and septic tank servicers and sewer pipe cleaners"
6800.0,"Derrick, rotary drill, and service unit operators, and roustabouts, oil, gas, and mining"
6820.0,"Earth Drillers, Except Oil and Gas"
6830.0,"Explosives Workers, Ordnance Handling Experts, and Blasters"
6840.0,Mining Machine Operators
6940.0,Miscellaneous extraction workers including roof bolters and helpers
7000.0,"FirstLine Supervisors of Mechanics, Installers, and Repairers"
7010.0,"Computer, Automated Teller, and Office Machine Repairers"
7020.0,Radio and Telecommunications Equipment Installers and Repairers
7030.0,Avionics Technicians
7040.0,"Electric Motor, Power Tool, and Related Repairers"
7100.0,"Electrical and electronics repairers, transportation equipment, and industrial and utility"
7110.0,"Electronic Equipment Installers and Repairers, Motor Vehicles"
7120.0,Electronic Home Entertainment Equipment Installers and Repairers
7130.0,Security and Fire Alarm Systems Installers
7140.0,Aircraft Mechanics and Service Technicians
7150.0,Automotive Body and Related Repairers
7160.0,Automotive Glass Installers and Repairers
7200.0,Automotive Service Technicians and Mechanics
7210.0,Bus and Truck Mechanics and Diesel Engine Specialists
7220.0,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics
7240.0,Small Engine Mechanics
7260.0,"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers"
7300.0,Control and Valve Installers and Repairers
6540.0,(Solar photovoltaic installers part of 6765)
7315.0,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
7320.0,Home Appliance Repairers
7330.0,Industrial and Refractory Machinery Mechanics
7340.0,"Maintenance and Repair Workers, General"
7350.0,"Maintenance Workers, Machinery"
7360.0,Millwrights
7410.0,Electrical PowerLine Installers and Repairers
7420.0,Telecommunications Line Installers and Repairers
7430.0,Precision Instrument and Equipment Repairers
7510.0,"Coin, Vending, and Amusement Machine Servicers and Repairers"
7630.0,"Miscellaneous installation, maintenance, and repair workers, including wind turbine service technicians"
7540.0,Locksmiths and Safe Repairers
7560.0,Riggers
7610.0,"HelpersInstallation, Maintenance, and Repair Workers"
7700.0,FirstLine Supervisors of Production and Operating Workers
7710.0,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
7720.0,"Electrical, Electronics, and Electromechanical Assemblers"
7730.0,Engine and Other Machine Assemblers
7740.0,Structural Metal Fabricators and Fitters
7750.0,Miscellaneous Assemblers and Fabricators
7800.0,Bakers
7810.0,"Butchers and Other Meat, Poultry, and Fish Processing Workers"
7830.0,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
7840.0,Food Batchmakers
7850.0,Food Cooking Machine Operators and Tenders
7855.0,"Food Processing Workers, All Other(part of 8960)"
7900.0,Computer Control Programmers and Operators
7920.0,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
7930.0,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
7940.0,"Rolling Machine Setters, Operators, and Tenders, metal and Plastic"
7950.0,"Machine tool cutting setters, operators, and tenders, metal and plastic (includes 8020)"
8220.0,"Miscellaneous metal workers and plastic workers, including multiple machine tool setters"
8030.0,Machinists
8040.0,"Metal Furnace Operators, Tenders, Pourers, and Casters"
8100.0,"Model makers, patternmakers, and molding machine setters, metal and plastic"
8130.0,Tool and Die Makers
8140.0,"Welding, Soldering, and Brazing Workers"
8256.0,Print binding and finishing workers
8255.0,Printing press operators
8250.0,Prepress Technicians and Workers
8300.0,Laundry and DryCleaning Workers
8310.0,"Pressers, Textile, Garment, and Related Materials"
8320.0,Sewing Machine Operators
8330.0,Shoe and leather workers
8350.0,"Tailors, Dressmakers, and Sewers"
8400.0,"Textile bleaching and dyeing, and cutting machine setters, operators, and tenders"
8410.0,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
8420.0,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
8450.0,Upholsterers
8460.0,"Miscellaneous textile, apparel, and furnishings workers except upholsterers"
8500.0,Cabinetmakers and Bench Carpenters
8510.0,Furniture Finishers
8550.0,Miscellaneous woodworkers including model makers and patternmakers
8530.0,"Sawing Machine Setters, Operators, and Tenders, Wood"
8540.0,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
8600.0,"Power Plant Operators, Distributors, and Dispatchers"
8610.0,Stationary Engineers and Boiler Operators
8620.0,Water Wastewater Treatment Plant and System Operators
8630.0,Miscellaneous Plant and System Operators
8640.0,"Chemical Processing Machine Setters, Operators, and Tenders"
8650.0,"Crushing, Grinding, Polishing, Mixing, and Blending Workers"
8710.0,Cutting Workers
8720.0,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
8730.0,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
8740.0,"Inspectors, Testers, Sorters, Samplers, and Weighers"
8750.0,Jewelers and Precious Stone and Metal Workers
8760.0,"Medical, Dental, and Ophthalmic Laboratory Technicians"
8800.0,Packaging and Filling Machine Operators and Tenders
8810.0,Painting Workers
8830.0,Photographic Process Workers and Processing Machine Operators
8965.0,"Miscellaneous production workers, including semiconductor processors (see 7855)"
8850.0,Adhesive Bonding Machine Operators and Tenders
8910.0,Etchers and Engravers
8920.0,"Molders, Shapers, and Casters, Except Metal and Plastic"
8930.0,"Paper Goods Machine Setters, Operators, and Tenders"
8940.0,Tire Builders
8950.0,HelpersProduction Workers
9000.0,Supervisors of Transportation and Material Moving Workers
9030.0,Aircraft Pilots and Flight Engineers
9040.0,Air Traffic Controllers and Airfield Operations Specialists
9050.0,Flight Attendants(part of 4550)
9110.0,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
9120.0,Bus Drivers
9130.0,Driver/Sales Workers and Truck Drivers
9140.0,Taxi Drivers and Chauffeurs
9150.0,"Motor Vehicle Operators, All Other"
9200.0,Locomotive Engineers and Operators
9240.0,Railroad Conductors and Yardmasters
9260.0,"Subway, streetcar, and other rail transportation workers"
9300.0,"Sailors and marine oilers, and ship engineers"
9310.0,Ship and Boat Captains and Operators
9350.0,Parking Lot Attendants
9360.0,Automotive and Watercraft Service Attendants
9410.0,Transportation Inspectors
9415.0,"Transportation Attendants, Except Flight Attendants(part of 4550)"
9420.0,Miscellaneous transportation workers including bridge and lock tenders and traffic technicians
9510.0,Crane and Tower Operators
9520.0,"Dredge, Excavating, and Loading Machine Operators"
9560.0,"Conveyor operators and tenders, and hoist and winch operators"
9600.0,Industrial Truck and Tractor Operators
9610.0,Cleaners of Vehicles and Equipment
9620.0,"Laborers and Freight, Stock, and Material Movers, Hand"
9630.0,Machine Feeders and Offbearers
9640.0,"Packers and Packagers, Hand"
9650.0,Pumping Station Operators
9720.0,Refuse and Recyclable Material Collectors
9750.0,"Miscellaneous material moving workers including shuttle car operators, and tank car, truck, and ship loaders"
9800.0,Military Officer Special and Tactical Operations Leaders
9810.0,FirstLine Enlisted Military Supervisors
9820.0,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members
9830.0,"Military, Rank Not Specified"
9920.0,"Unemployed, with No Work Experience in the Last 5 Years or Earlier or Never Worked"
